RID	Provider	Country
# https://www.eftlab.com/knowledge-base/complete-list-of-registered-application-provider-identifiers-rid
315041592E	Visa International	United States
325041592E	Visa International	United States
44464D4641	DeviceFidelity	United States
501649FF20	Multibanco (Sociedade Interbancária de Serviços S.A.)	Portugal
504F4B4552		
534B542E4D		
534C424352		
6D69666172		
925000394F		France
925000445F		France
A000000001	PBS Danmønt A/S	Denmark
A000000002	Mondex International Ltd.	United Kingdom
A000000003	Visa International	United States
A000000004	Mastercard International	United States
A000000005	Switch Card Services Ltd.	United Kingdom
A000000006	Cardintell S.A.	Switzerland
A000000007	National Westminster Bank Plc	United Kingdom
A000000008	GyD Iberica	Spain
A000000009	ETSI	France
A000000010	Europay International	Belgium
A000000011	TSB Bank Plc	United Kingdom
A000000012	BT	United Kingdom
A000000013	OTB Card Company Limited	Hong Kong
A000000014	Touch Technology Inc.	United States
A000000015	Pocket Key S.R.L.	Italy
A000000016	Computercentrum C. van de Velden B:V (CCV)	Netherlands
A000000017	Veron SpA	Italy
A000000018	GEMPLUS	France
A000000019	ID Data Systems Ltd.	United Kingdom
A000000020	Laurel Intelligent Systems Co. Ltd.	Japan
A000000021	National CacheCard Co.	United States
A000000022	G.I.E. SESAM-VITALE	France
A000000023	ATA/IATA	United States
A000000024	Midland Bank Plc	United Kingdom
A000000025	American Express	United Kingdom
A000000026	Nationwide Building Society	United Kingdom
A000000027	OSI Plus Corporation	Japan
A000000028	MONET+	Czech Republic
A000000029	LINK Interchange Network Ltd	United Kingdom
A000000030	Schlumberger Industries Identif d’Encarteur PR050	France
A000000031	Kokusai Denshin Denwa Co., Ltd.	Japan
A000000032	De Post Belgie	Belgium
A000000033	Banque Carrefour de la Securite Sociale	Belgium
A000000034	Bank of Scotland	United Kingdom
A000000035	Sistema 4B	Spain
A000000036	The Co-operative Bank	United Kingdom
A000000037	SEIS	Sweden
A000000038	Delhaize De Leeuw	Belgium
A000000039	Acorn Group	United Kingdom
A000000040	ICL	United States
A000000041	Timelox AB	Sweden
A000000042	Groupement des Cartes Bancaires “CB”	France
A000000043	Eclipse Medi Save America Corp.	United States
A000000044	GSS (Global Specification for Short Range Communication)	Germany
A000000045	Barclays	United Kingdom
A000000046	Transtex S.A.	Argentina
A000000047	Security Dynamics Techn. Inc.	Sweden
A000000048	CARDAG, Karten und Technologie	Switzerland
A000000049	Clydesdale Bank P.L.C.	United Kingdom
A000000050	Yorkshire Bank P.L.C.	United Kingdom
A000000051	Northern Bank Limited	United Kingdom
A000000052	Sainsbury Supermarkets Ltd. (ATC-payments)	United Kingdom
A000000053	Sani Group Italia S.R.L.	Italy
A000000054	Alacarte Engineering	Belgium
A000000055	BankomatCentralen AB	Sweden
A000000056	Datakey, Inc.	United States
A000000057	Global Chipcard Alliance (GCA)	United States
A000000058	AB InTech	Estonia
A000000059	Zentraler Kreditausschuss (ZKA)	Germany
A000000060	Applied Card Technologies Ltd	United Kingdom
A000000061	Mycal Card Incorporated	Japan
A000000062	Sun Microsystems Inc.	United States
A000000063	RSA Laboratories	United States
A000000064	Schindler Elevator Corp.	United States
A000000065	JCB CO., LTD.	Japan
A000000066	Secunet Security Networks GmbH	Germany
A000000067	Iris Technologies Sdn. Bhd.	Malaysia
A000000068	CardLogix Corporation	United States
A000000069	Société Européenne de Monnaie Electronique SEME	France
A000000070	Prism Card Technologies	South Africa
A000000071	Euro Information	France
A000000072	Royal Bank of Canada	Canada
A000000073	Netlink Consortium	France
A000000074	Smart Card Solutions (Development Services) Ltd.	United Kingdom
A000000075	Open Interactive Limited	United Kingdom
A000000077	Oberthur Technologies	France
A000000078	Welcome Real-Time	France
A000000079	Activcard Europe S.A.	France
A000000080	Smart TV	United States
A000000081	Worldcard (2000) Ltd.	United Kingdom
A000000082	Union Internationale des Chemins de Fer	France
A000000083	Percomad B.V.	Netherlands
A000000084	Precise Biometrics AB	Sweden
A000000085	USIS Management Inc.	United States
A000000086	Strålfors AB	Sweden
A000000087	Third Generation Partnership Project (3GPP)	France
A000000088	Buypass AS	Norway
A000000089	American Association of Motor Vehicle Administrators	United States
A000000090	Smart Card Solutions, LIC	United States
A000000091	Cybermark	United States
A000000092	Mobile-Mind	United States
A000000093	Ask S.A.	France
A000000094	MULTOS Promotion Association	Japan
A000000095	Incard S.p.A.	Italy
A000000096	Sa Proton World International N.V.	Belgium
A000000097	CIC GLOBAL	New Zealand
A000000098	Visa USA	United States
A000000099	Cryptocard Corporation	Canada
A000000100	Net Time Corp.	Japan
A000000101	New Financial Systems, Services & Products, Dept. Financial Systems Division, Hitachi Ltd.	Japan
A000000102	Syntactics Limited	United Kingdom
A000000103	Catuity Incorporated	United States
A000000104	Israel Credit Cards Ltd.	Israel
A000000105	Digital Pockets, LLC	United States
A000000106	Protective Technology	Norway
A000000107	HSB Cards & Card Systems B.V.	Netherlands
A000000108	AETeurope b.v.	Netherlands
A000000109	Citicorp Development Center Inc.	United States
A000000110	The Boots Company PLC	United Kingdom
A000000111	Die Post Postfinance	Switzerland
A000000112	Lironic, INC.	United States
A000000113	Datacard Platform Seven Limited	United Kingdom
A000000114	Sila Communications Scandinavia Aps	Denmark
A000000115	NTT Communications Corporation	Japan
A000000116	GSA – TFCS	United States
A000000117	Airtel Movil S.A.	Spain
A000000118	Austria Card	Austria
A000000119	Logico Smartcard Solutions GmbH.	Austria
A000000120	PBS Data A/S	Denmark
A000000121	PBS Danmark A/S	Denmark
A000000122	Humetrix.com, Inc.	United States
A000000123	Smartcard EZ.com, Inc.	United States
A000000124	The Brodie Group	United States
A000000125	Department of Veterans Affairs	United States
A000000126	Shonkh Technologies International Limited	India
A000000127	SecureNet	Australia
A000000128	Infineer Ltd	United Kingdom
A000000129	Carde Systems Inc.	Canada
A000000130	Global Consumer Technologies, Inc.	Canada
A000000131	Mxi Technologies Ltd.	Canada
A000000132	Java Card Forum	United States
A000000133	St. Geroge Bank Australia	Australia
A000000134	Smartix International Corporation	United States
A000000135	Goldkey Technology Corporation	Taiwan
A000000136	Worldsmart Technology	Australia
A000000137	BZA Bargeldlose Zahlungs- und Abrechnungssysteme GmbH	Germany
A000000138	Acer Internet Services, Inc.	Taiwan
A000000139	Japan Point Anex Co., Ltd.	Japan
A000000140	TDS TODOS DATA SYSTEM AB	Sweden
A000000141	Associazione Bancaria Italiana	Italy
A000000142	Toppan Printing Co. Ltd.	Japan
A000000143	ANZ Banking Group	Australia
A000000144	Multos Consortium	United Kingdom
A000000145	Yokosuka City	Japan
A000000146	Keihin Electric Express Railway Co., Ltd.	Japan
A000000147	Defense Manpower Data Center	United States
A000000149	CISRA (Canon Research Systems Research Australia Pty Ltd)	Australia
A000000150	Smart Chip Limited	India
A000000151	GlobalPlatform, Inc.	United States
A000000152	Diners Club International Ltd.	United States
A000000153	National Credit Card Center of R.O.C.	Taiwan
A000000154	Banrisul – Banco do Estado do Rio Grande do SUL – S.A.	Brazil
A000000155	Deltaknot SDN. BHD.	Malaysia
A000000156	HOB electronic GmbH & Co. KG	Germany
A000000157	Zühlke Engineering AG	Switzerland
A000000158	Cornish Key	United Kingdom
A000000159	Hyweb Technology Co., Ltd.	Taiwan
A000000160	Chinatrust Commercial Bank	Taiwan
A000000161	Advanced Wave	United Kingdom
A000000162	Europay (Switzerland) SA	Switzerland
A000000163	Prepayment Cards Limited	United Kingdom
A000000164	Athena Smartcard Ltd	United Kingdom
A000000165	S-Card A/S	Denmark
A000000166	Identix Incorporated	United States
A000000167	IBM	Germany
A000000168	Dai Nippon Printing Co., Ltd. (DNP)	Japan
A000000169	Smart Chip Technologies, LLC	United States
A000000170	The Chinese Bank	Taiwan
A000000171	Decru, Inc.	United States
A000000172	Financial Information Service Co. Ltd.	Taiwan
A000000174	Sodexho-ccs	France
A000000175	Panini Italia Srl	Italy
A000000176	Banksys	Belgium
A000000177	Ministère de L’Intérieur	Belgium
A000000178	Europay Austria Zahlungsverkehrssysteme GmbH	Austria
A000000179	Hong Kong University of Science and Technology	Hong Kong
A000000180	Cheque Dejeuner	France
A000000181	BGP E-Services S.A.	Belgium
A000000182	Thalys International	Belgium
A000000183	Changent Systems Inc.	United States
A000000184	DSI Direccao dos Servicos de Identificacao	Macao SAR
A000000185	Post Office Limited	United Kingdom
A000000186	Oberthur Card systems Ltd.	United Kingdom
A000000187	Privacom B.V.	Netherlands
A000000188	Diners Club Switzerland Ltd	Switzerland
A000000189	Consolidated Computer Services	Australia
A000000190	Cardis Research & Development	Israel
A000000191	Syscom Technologies Limited	India
A000000192	Syscom Corporation	India
A000000193	AccessArena AG	Switzerland
A000000194	Logos Smart Card A/S	Denmark
A000000195	Amity Software Inc.	United States
A000000196	Capita Business Services Ltd	United Kingdom
A000000197	European Committee for Standardization – CEN	Belgium
A000000198	Israeli Ministry of Treasure	Israel
A000000199	Ichikawa City	Japan
A000000200	NonProfit Organization Ichikawa Life Network Club	Japan
A000000201	Funabashi City	Japan
A000000202	Kishware Co.	Iran
A000000203	National Australia Group Europe Ltd.	United Kingdom
A000000204	Association for Payment Clearing Services	United Kingdom
A000000206	Nordea Bank Sweden AB	Sweden
A000000207	Cardtronic Technology Inc.	United States
A000000209	Cassis International Pte. Ltd.	Singapore
A000000210	TheTitan Corporation, Titan Secure Solutions	United States
A000000211	Saflink Corporation	United States
A000000212	Cyberpro Technologies Inc.	Canada
A000000213	Sharp Corporation	Japan
A000000214	Landis + Gyr	South Africa
A000000215	HiSmarTech Co., Ltd.	Republic of Korea
A000000216	ITSO Ltd.	United Kingdom
A000000217	WAY Systems, Inc.	United States
A000000218	WEBUNDCO GmbH & Co KG	Austria
A000000219	National Bank of Greece S.A.	Greece
A000000220	Samsung SDS Co., Ltd.	Republic of Korea
A000000221	E.F.G. Eurobank Ergasias S.A.	Greece
A000000222	Easycard Ltd	United Kingdom
A000000223	Seagate Technology	United States
A000000224	Tokyu Corporation	Japan
A000000225	Laser Card Services Ltd.	Ireland
A000000226	Irish Payment Services Organisation	Ireland
A000000227	KFTC (Korea Financial Telecommunications & Clearings Institute)	Republic of Korea
A000000228	Saudi Arabian Monetary Agency (SAMA)	Kingdom of Saudi Arabia
A000000229	ALIASLAB S.P.A.	Italy
A000000230	ECard Pty Ltd	Australia
A000000231	National Police Agency of Japan	Japan
A000000232	COREGATE. CO., Ltd	Republic of Korea
A000000233	Professional Performance Systems	Australia
A000000234	Thames Card Technology	United Kingdom
A000000235	MCS Microsystems SDN BHD	Malaysia
A000000236	Pacific Research Pty Ltd	Australia
A000000237	Keycorp Limited	Australia
A000000238	A.Little.World Pvt. Ltd.	India
A000000239	Cornwall County Council	United Kingdom
A000000240	Paypoint Network Ltd.	United Kingdom
A000000241	Visa International	United States
A000000242	NagraCard S.A.	Switzerland
A000000243	SAGEM SA	France
A000000244	Vasco Data Security NV/SA	Belgium
A000000245	Korea Highway Corporation	Republic of Korea
A000000246	U.S. Department of Agriculture, Food and Nutrition Service	United States
A000000247	ISO JTC1/SC17/WG3	United Kingdom
A000000248	ISO JTC1/SC17/WG10	United Kingdom
